category,flow_name,bpmn_file,source_type
EGM,EGM-Attendance Form,all_flows_bpmn/egm__egm_attendance_form.bpmn,DEMO_TEMPLATE
EGM,EGM-Incident Form,all_flows_bpmn/egm__egm_incident_form.bpmn,DEMO_TEMPLATE
EGM,EGM-PM,all_flows_bpmn/egm__egm_pm.bpmn,DEMO_TEMPLATE
EGM,EGM-PM Form,all_flows_bpmn/egm__egm_pm_form.bpmn,DEMO_TEMPLATE
EGM,GMU RAM CLEAR FORM,all_flows_bpmn/egm__gmu_ram_clear_form.bpmn,DEMO_TEMPLATE
EGM,Machine Form,all_flows_bpmn/egm__machine_form.bpmn,DEMO_TEMPLATE
EGM,RAM CLEAR FORM,all_flows_bpmn/egm__ram_clear_form.bpmn,DEMO_TEMPLATE
Events,Complimentary Vouchers & Discount Vouchers,all_flows_bpmn/events__complimentary_vouchers_and_discount_vouchers.bpmn,DEMO_TEMPLATE
Events,Hotel Gift Voucher Request Form,all_flows_bpmn/events__hotel_gift_voucher_request_form.bpmn,DEMO_TEMPLATE
Exit Clearance Form,Book2,all_flows_bpmn/exit_clearance_form__book2.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Exit Clearance Form - 25July2024,all_flows_bpmn/exit_clearance_form__exit_clearance_form_25july2024.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Exit Clearance Form - Feb2018f,all_flows_bpmn/exit_clearance_form__exit_clearance_form_feb2018f.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Exit Clearance Form - Feb2018f-v4 (003),all_flows_bpmn/exit_clearance_form__exit_clearance_form_feb2018f_v4_003.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Exit Clearance Form Drafe workflow and report,all_flows_bpmn/exit_clearance_form__exit_clearance_form_drafe_workflow_and_report.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Exit Clearance Form Testing DOC,all_flows_bpmn/exit_clearance_form__exit_clearance_form_testing_doc.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Exit Clearance Form Testing Doc 28-Nov-2024,all_flows_bpmn/exit_clearance_form__exit_clearance_form_testing_doc_28_nov_2024.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Testing Doc 03-Sep-2024(New),all_flows_bpmn/exit_clearance_form__testing_doc_03_sep_2024_new.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Testing Doc 22-Aug-2024,all_flows_bpmn/exit_clearance_form__testing_doc_22_aug_2024.bpmn,FULL_REFERENCE_EXIT
Exit Clearance Form,Testing Feedback,all_flows_bpmn/exit_clearance_form__testing_feedback.bpmn,FULL_REFERENCE_EXIT
Finance,BCJ,all_flows_bpmn/finance__bcj.bpmn,FULL_REFERENCE_BCJ
Finance,BCJ Routing,all_flows_bpmn/finance__bcj_routing.bpmn,FULL_REFERENCE_BCJ
Finance,Fixed Asset Disposal,all_flows_bpmn/finance__fixed_asset_disposal.bpmn,DEMO_TEMPLATE
Finance,Fixed Asset Transfer,all_flows_bpmn/finance__fixed_asset_transfer.bpmn,DEMO_TEMPLATE
Finance,Gaming IA-Variance Approval,all_flows_bpmn/finance__gaming_ia_variance_approval.bpmn,DEMO_TEMPLATE
Finance,UAT For Finance,all_flows_bpmn/finance__uat_for_finance.bpmn,DEMO_TEMPLATE
Fire Safey,Emergency Incident Form,all_flows_bpmn/fire_safey__emergency_incident_form.bpmn,DEMO_TEMPLATE
HR,Additional Time Work Claim Form,all_flows_bpmn/hr__additional_time_work_claim_form.bpmn,DEMO_TEMPLATE
HR,Admin - Item Repair Form,all_flows_bpmn/hr__admin_item_repair_form.bpmn,DEMO_TEMPLATE
HR,Admin - Item Request Form,all_flows_bpmn/hr__admin_item_request_form.bpmn,DEMO_TEMPLATE
HR,Admin - Phone&Allowance Request Form,all_flows_bpmn/hr__admin_phone_and_allowance_request_form.bpmn,DEMO_TEMPLATE
HR,Admin - Purchase Request Form,all_flows_bpmn/hr__admin_purchase_request_form.bpmn,DEMO_TEMPLATE
HR,Authorisation to Travel Form,all_flows_bpmn/hr__authorisation_to_travel_form.bpmn,DEMO_TEMPLATE
HR,Car Park,all_flows_bpmn/hr__car_park.bpmn,DEMO_TEMPLATE
HR,Home Leave Ticket,all_flows_bpmn/hr__home_leave_ticket.bpmn,DEMO_TEMPLATE
HR,Honesty Award Request Form,all_flows_bpmn/hr__honesty_award_request_form.bpmn,DEMO_TEMPLATE
HR,HR Course Registration Form,all_flows_bpmn/hr__hr_course_registration_form.bpmn,DEMO_TEMPLATE
HR,HR Employee Of the month,all_flows_bpmn/hr__hr_employee_of_the_month.bpmn,DEMO_TEMPLATE
HR,HR Medical Treatment,all_flows_bpmn/hr__hr_medical_treatment.bpmn,DEMO_TEMPLATE
HR,HR Request For Document,all_flows_bpmn/hr__hr_request_for_document.bpmn,DEMO_TEMPLATE
HR,Meal Allowance & Laundry Form,all_flows_bpmn/hr__meal_allowance_and_laundry_form.bpmn,DEMO_TEMPLATE
